data_ref,commodity,ticker,preco_raw,volume,fonte,data_coleta
2025-03-17,soja,ZS=F,1015.5,80925,Yahoo Finance / CBOT,2026-03-21
2025-03-18,soja,ZS=F,1012.75,100675,Yahoo Finance / CBOT,2026-03-21
2025-03-19,soja,ZS=F,1008.25,124450,Yahoo Finance / CBOT,2026-03-21
2025-03-20,soja,ZS=F,1013.0,117385,Yahoo Finance / CBOT,2026-03-21
2025-03-21,soja,ZS=F,1009.75,101376,Yahoo Finance / CBOT,2026-03-21
2025-03-24,soja,ZS=F,1007.25,88648,Yahoo Finance / CBOT,2026-03-21
2025-03-25,soja,ZS=F,1001.75,99523,Yahoo Finance / CBOT,2026-03-21
2025-03-26,soja,ZS=F,1001.0,103851,Yahoo Finance / CBOT,2026-03-21
2025-03-27,soja,ZS=F,1016.75,111192,Yahoo Finance / CBOT,2026-03-21
2025-03-28,soja,ZS=F,1023.0,120885,Yahoo Finance / CBOT,2026-03-21
2025-03-31,soja,ZS=F,1014.75,160036,Yahoo Finance / CBOT,2026-03-21
2025-04-01,soja,ZS=F,1034.25,167012,Yahoo Finance / CBOT,2026-03-21
2025-04-02,soja,ZS=F,1029.5,129992,Yahoo Finance / CBOT,2026-03-21
2025-04-03,soja,ZS=F,1011.5,169499,Yahoo Finance / CBOT,2026-03-21
2025-04-04,soja,ZS=F,977.0,269757,Yahoo Finance / CBOT,2026-03-21
2025-04-07,soja,ZS=F,983.0,272593,Yahoo Finance / CBOT,2026-03-21
2025-04-08,soja,ZS=F,992.75,216115,Yahoo Finance / CBOT,2026-03-21
2025-04-09,soja,ZS=F,1012.75,205523,Yahoo Finance / CBOT,2026-03-21
2025-04-10,soja,ZS=F,1029.0,192962,Yahoo Finance / CBOT,2026-03-21
2025-04-11,soja,ZS=F,1042.75,191945,Yahoo Finance / CBOT,2026-03-21
2025-04-14,soja,ZS=F,1041.75,117322,Yahoo Finance / CBOT,2026-03-21
2025-04-15,soja,ZS=F,1036.0,126985,Yahoo Finance / CBOT,2026-03-21
2025-04-16,soja,ZS=F,1038.75,113594,Yahoo Finance / CBOT,2026-03-21
2025-04-17,soja,ZS=F,1036.5,88269,Yahoo Finance / CBOT,2026-03-21
2025-04-21,soja,ZS=F,1029.5,56324,Yahoo Finance / CBOT,2026-03-21
2025-04-22,soja,ZS=F,1035.0,78848,Yahoo Finance / CBOT,2026-03-21
2025-04-23,soja,ZS=F,1040.25,105262,Yahoo Finance / CBOT,2026-03-21
2025-04-24,soja,ZS=F,1053.0,95258,Yahoo Finance / CBOT,2026-03-21
2025-04-25,soja,ZS=F,1049.75,80595,Yahoo Finance / CBOT,2026-03-21
2025-04-28,soja,ZS=F,1052.0,69123,Yahoo Finance / CBOT,2026-03-21
2025-04-29,soja,ZS=F,1041.0,38351,Yahoo Finance / CBOT,2026-03-21
2025-04-30,soja,ZS=F,1034.75,3242,Yahoo Finance / CBOT,2026-03-21
2025-05-01,soja,ZS=F,1040.25,2080,Yahoo Finance / CBOT,2026-03-21
2025-05-02,soja,ZS=F,1048.75,1388,Yahoo Finance / CBOT,2026-03-21
2025-05-05,soja,ZS=F,1038.0,682,Yahoo Finance / CBOT,2026-03-21
2025-05-06,soja,ZS=F,1034.75,282,Yahoo Finance / CBOT,2026-03-21
2025-05-07,soja,ZS=F,1030.5,204,Yahoo Finance / CBOT,2026-03-21
2025-05-08,soja,ZS=F,1036.75,61,Yahoo Finance / CBOT,2026-03-21
2025-05-09,soja,ZS=F,1044.0,53,Yahoo Finance / CBOT,2026-03-21
2025-05-12,soja,ZS=F,1066.0,75,Yahoo Finance / CBOT,2026-03-21
2025-05-13,soja,ZS=F,1067.25,31,Yahoo Finance / CBOT,2026-03-21
2025-05-14,soja,ZS=F,1067.0,124910,Yahoo Finance / CBOT,2026-03-21
2025-05-15,soja,ZS=F,1051.25,172955,Yahoo Finance / CBOT,2026-03-21
2025-05-16,soja,ZS=F,1050.0,114733,Yahoo Finance / CBOT,2026-03-21
2025-05-19,soja,ZS=F,1050.75,78345,Yahoo Finance / CBOT,2026-03-21
2025-05-20,soja,ZS=F,1053.0,92812,Yahoo Finance / CBOT,2026-03-21
